user_id,ISBN,title,book_rating
48342,0553280945,The Mammoth Hunters (Earth's Children (Paperback)),9
82123,0440514428,Cold Sassy Tree,8
232492,0553580191,Seize the Night,10
33816,0345339703,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",9
141901,0399142282,Hornet's Nest,8
204864,1551667010,The Soul Catcher: A Maggie O'Dell Novel,6
211041,0786890436,The Diary of Ellen Rimbauer: My Life at Rose Red,7
232959,0345423135,The Magic Circle,4
275111,038548951X,Sister of My Heart,8
232052,0786889209,Myst: The Book of Ti'ana,8
55826,0425152251,Sophie's World: A Novel About the History of Philosophy,9
110934,0451525264,Les Miserables a New Unabridged Translation (Signet Classics),10
169779,055329802X,"Champions of the Force (Star Wars: The Jedi Academy Trilogy, Vol. 3)",9
194637,0671727583,Smart Women,6
204255,0060928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,10
78973,0140620427,Sense and Sensibility (Penguin Popular Classics),7
91184,0836218833,Attack Of The Deranged Mutant Killer Snow Goons,5
162052,0836221311,Last Chapter and Worse,10
198114,0316735027,The True and Outstanding Adventures of the Hunt Sisters: A Novel,8
6543,0451207246,How to Murder a Millionaire,7
103336,0802139256,Peace Like a River,8
159822,0440235162,The Smoke Jumper,8
167375,0452282152,Girl with a Pearl Earring,9
250962,055329461X,The Difference Engine,9
253005,0449005836,The Right Hand of Evil,6
100906,0618002235,"The Two Towers (The Lord of the Rings, Part 2)",10
109367,0553568760,Natural Causes,5
132171,044661064X,The First Counsel,6
143011,0066214440,Enemy Women: A Novel,7
274061,0345435273,A Caress of Twilight (Meredith Gentry Novels (Hardcover)),10
17950,0064408663,"The Hostile Hospital (A Series of Unfortunate Events, Book 8)",10
66556,0451190564,The Green Mile: Night Journey (Green Mile Series),8
227520,042517140X,Loyalty in Death,9
242083,0440214041,The Pelican Brief,9
254144,0425183971,Reunion in Death,8
76019,0140071814,The Kingdom by the Sea: A Journey Around the Coast of Great Britain,6
87820,0380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),7
182969,0802139256,Peace Like a River,7
197364,055329170X,Time Bomb (Alex Delaware Novels (Paperback)),7
242642,0515130966,Riptide,7
247447,0515132020,Heaven and Earth (Three Sisters Island Trilogy),9
247966,0425153975,The Eyes of Darkness,8
271531,0446679593,Suzanne's Diary for Nicholas,10
6537,0316284955,White Oleander : A Novel (Oprah's Book Club),8
39345,015100692X,The Crimson Petal and the White,3
65258,0345369335,The Renegades of Pern (Dragonriders of Pern (Paperback)),9
89551,0060934719,stardust,10
126736,0446601241,Kiss the Girls,8
196821,0671507036,Montana 1948 : Montana 1948,7
3282,0441135560,Damia (Ace Science Fiction),10
77526,0679746048,"Girl, Interrupted",8
105028,0451180232,Nightmares &amp; Dreamscapes,8
110160,0451204301,Impulse,10
