ISBN,title,author,year,total_ratings,average_rating
0312099045,Route 66 Postcards: Greetings from the Mother Road,Michael Wallis,1993,6,10.0
1888054557,Postmarked Yesteryear: 30 Rare Holiday Postcards,Pamela E. Apkarian-Russell,2001,6,10.0
0395282659,The Hobbit,J. R. R. Tolkien,1988,6,10.0
0394800893,The Sneetches and Other Stories,Dr. Seuss,1961,6,10.0
0064405036,"The Last Battle (The Chronicles of Narnia, Book 7)",C. S. Lewis,1994,5,10.0
0679722017,The Selected Poetry of Rainer Maria Rilke,RAINER MARIA RILKE,1989,5,10.0
060961097X,The Clan of the Cave Bear,JEAN M. AUEL,2001,5,10.0
1571456988,Uncle John's Supremely Satisfying Bathroom Reader (Uncle John's Bathroom Reader),Bathroom Readers Institute,2001,5,10.0
0590464639,The Biggest Pumpkin Ever,Steven Kroll,1993,5,10.0
0679821481,Six by Seuss: A Treasury of Dr. Seuss Classics,Seuss,1991,5,10.0
1565548353,Halloween: Romantic Art and Customs Of Yesteryear Postcard Book,Diane C. Arkins,2000,5,10.0
0395193958,The Lord of the Rings (Leatherette Collector's Edition),J. R. R. Tolkien,1974,5,10.0
0836213319,Dilbert: A Book of Postcards,Scott Adams,1996,10,9.9
0394823370,The Lorax,Dr. Seuss,1971,9,9.89
0439425220,Harry Potter and the Chamber of Secrets Postcard Book,J. K. Rowling,2002,19,9.84
0451128389,Christine,Stephen King,1983,6,9.83
0312992416,Kiss of the Night (A Dark-Hunter Novel),Sherrilyn Kenyon,2004,10,9.8
1561840564,Prometheus Rising,Robert Anton Wilson,1992,5,9.8
0671743481,The University of Chicago Spanish - English English - Spanish Dictionary,Carlos Castillo,1991,5,9.8
067162461X,LONESOME DOVE  M,Larry McMurtry,1989,5,9.8
0786915528,"Monster Manual: Core Rulebook III (Dungeons &amp; Dragons, Third Edition)",Skip Williams,2000,5,9.8
2290312924,"Le Cycle d'Ender, tome 2 : La Voix des morts",Scott Card Orson,2001,5,9.8
0943233828,More Random Acts of Kindness,Conari Press,1994,5,9.8
1571458506,Uncle John's Bathroom Reader Plunges into the Universe (Bathroom Reader Series),Bathroom Readers Hysterical Society,2002,5,9.8
0517219018,The Stand,STEPHEN KING,2001,5,9.8
0684803763,MINDHUNTER : INSIDE THE FBI'S ELITE SERIAL CRIME UNIT,John E. Douglas,1995,5,9.8
0767903595,Clear Your Clutter With Feng Shui,Karen Kingston,1999,5,9.8
0345418913,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1997,5,9.8
0553267701,The Herb Book,John B. Lust,1983,5,9.8
3608935428,Die Zwei Turme II,J. R. R. Tolkien,2001,5,9.8
